timestamp,open,high,low,close,volume,oi
2026-04-16 09:15:00+05:30,253.85,263.55,241.9,256.25,133120,120900
2026-04-16 09:16:00+05:30,255.7,262.35,250.9,255.25,68380,120900
2026-04-16 09:17:00+05:30,254.55,254.9,244.05,244.05,76050,120900
2026-04-16 09:18:00+05:30,244.65,249.65,240.9,241.8,76830,207220
2026-04-16 09:19:00+05:30,241.4,241.4,231.75,232.15,65325,207220
2026-04-16 09:20:00+05:30,232.3,234.9,227.25,233.2,78195,207220
2026-04-16 09:21:00+05:30,232.2,235.45,231.15,232.85,57265,282165
2026-04-16 09:22:00+05:30,232.35,236.4,230.0,231.65,54665,282165
2026-04-16 09:23:00+05:30,232.0,235.8,230.2,231.15,65910,282165
2026-04-16 09:24:00+05:30,231.65,237.9,225.45,226.85,90090,346190
2026-04-16 09:25:00+05:30,227.05,227.4,219.2,224.0,103285,346190
2026-04-16 09:26:00+05:30,224.0,227.0,221.4,224.4,57980,346190
2026-04-16 09:27:00+05:30,225.0,227.25,219.15,227.0,71045,388245
2026-04-16 09:28:00+05:30,227.0,230.3,222.7,223.15,63050,388245
2026-04-16 09:29:00+05:30,223.05,228.15,220.05,226.55,46540,388245
2026-04-16 09:30:00+05:30,226.65,227.5,221.8,225.65,44395,417885
2026-04-16 09:31:00+05:30,225.7,233.15,224.9,232.85,65650,417885
2026-04-16 09:32:00+05:30,233.0,240.8,231.6,240.7,154440,443495
2026-04-16 09:33:00+05:30,240.95,243.35,238.4,241.05,148330,443495
2026-04-16 09:34:00+05:30,240.05,245.0,240.05,241.65,68705,443495
2026-04-16 09:35:00+05:30,241.15,247.0,240.2,244.8,80210,443495
2026-04-16 09:36:00+05:30,245.2,248.0,240.35,246.15,66105,443495
2026-04-16 09:37:00+05:30,245.7,257.0,245.7,256.0,147355,429650
2026-04-16 09:38:00+05:30,256.1,274.95,255.3,271.4,183495,429650
2026-04-16 09:39:00+05:30,272.15,276.15,259.8,260.5,94770,429650
2026-04-16 09:40:00+05:30,260.05,276.65,258.2,275.3,95875,330720
2026-04-16 09:41:00+05:30,275.45,279.9,271.9,277.1,80795,330720
2026-04-16 09:42:00+05:30,277.35,282.0,271.25,277.25,70785,330720
2026-04-16 09:43:00+05:30,277.0,281.5,273.95,277.6,44850,344695
2026-04-16 09:44:00+05:30,277.1,283.15,275.05,282.2,36010,344695
2026-04-16 09:45:00+05:30,281.85,288.25,279.6,280.35,73970,344695
2026-04-16 09:46:00+05:30,280.3,280.3,265.3,266.45,74425,335790
2026-04-16 09:47:00+05:30,266.9,270.8,262.4,269.2,50375,335790
2026-04-16 09:48:00+05:30,269.7,270.85,261.55,265.05,35100,335790
2026-04-16 09:49:00+05:30,265.35,269.3,263.0,263.95,23530,359125
2026-04-16 09:50:00+05:30,263.8,265.0,258.2,262.2,32175,359125
2026-04-16 09:51:00+05:30,261.8,270.6,260.9,262.5,42055,359125
2026-04-16 09:52:00+05:30,262.5,265.1,257.6,263.65,37440,378820
2026-04-16 09:53:00+05:30,264.6,277.95,263.55,276.5,42510,378820
2026-04-16 09:54:00+05:30,277.0,281.0,271.25,273.9,37960,378820
2026-04-16 09:55:00+05:30,274.05,279.9,273.05,278.2,45110,387530
2026-04-16 09:56:00+05:30,278.9,288.0,277.4,286.15,58760,387530
2026-04-16 09:57:00+05:30,286.1,297.85,285.6,295.9,100230,387530
2026-04-16 09:58:00+05:30,296.25,298.0,290.45,294.65,44655,356590
2026-04-16 09:59:00+05:30,294.5,302.45,292.75,301.2,47905,356590
2026-04-16 10:00:00+05:30,300.35,302.35,296.0,300.8,33995,356590
2026-04-16 10:01:00+05:30,300.25,303.8,290.15,291.15,36920,333320
2026-04-16 10:02:00+05:30,291.15,292.55,287.25,290.0,27885,333320
2026-04-16 10:03:00+05:30,289.6,295.25,288.0,290.2,33215,333320
2026-04-16 10:04:00+05:30,290.55,291.15,277.2,278.8,40040,343980
2026-04-16 10:05:00+05:30,279.0,283.9,278.3,280.3,30550,343980
2026-04-16 10:06:00+05:30,280.4,292.0,280.2,290.1,26390,343980
2026-04-16 10:07:00+05:30,290.75,291.75,281.0,281.9,16380,349440
2026-04-16 10:08:00+05:30,281.45,282.0,274.1,274.45,28405,349440
2026-04-16 10:09:00+05:30,274.85,278.3,272.0,274.5,20150,349440
2026-04-16 10:10:00+05:30,275.45,275.45,268.75,270.95,24115,335270
2026-04-16 10:11:00+05:30,270.55,274.9,270.0,272.45,12220,335270
2026-04-16 10:12:00+05:30,272.7,281.85,272.3,279.2,30095,335270
2026-04-16 10:13:00+05:30,279.9,279.9,271.2,274.5,12545,338325
2026-04-16 10:14:00+05:30,274.8,276.35,271.5,273.0,9295,338325
2026-04-16 10:15:00+05:30,272.6,282.6,272.0,279.5,23660,338325
2026-04-16 10:16:00+05:30,280.0,283.8,273.0,273.4,26910,348530
2026-04-16 10:17:00+05:30,273.35,278.2,272.0,275.35,15925,348530
2026-04-16 10:18:00+05:30,275.2,275.2,266.05,266.8,30875,348530
2026-04-16 10:19:00+05:30,266.05,274.6,262.8,273.3,38155,348985
2026-04-16 10:20:00+05:30,273.7,275.65,271.1,271.1,20410,348985
2026-04-16 10:21:00+05:30,271.25,281.35,271.25,279.0,15795,348985
2026-04-16 10:22:00+05:30,279.4,279.7,274.9,275.4,13065,347165
2026-04-16 10:23:00+05:30,275.2,276.7,272.1,273.4,15080,347165
2026-04-16 10:24:00+05:30,272.8,276.1,271.05,275.35,10400,347165
2026-04-16 10:25:00+05:30,276.45,277.1,268.6,269.15,23335,358020
2026-04-16 10:26:00+05:30,269.15,270.2,267.3,270.2,9360,358020
2026-04-16 10:27:00+05:30,268.9,282.2,265.7,282.2,28470,358020
2026-04-16 10:28:00+05:30,282.1,286.0,278.65,280.55,27625,364650
2026-04-16 10:29:00+05:30,279.0,282.5,272.6,277.7,18200,364650
2026-04-16 10:30:00+05:30,276.35,276.5,269.05,273.25,10920,364650
2026-04-16 10:31:00+05:30,274.2,274.2,265.2,268.0,13325,370240
2026-04-16 10:32:00+05:30,267.1,274.05,266.4,273.05,11570,370240
2026-04-16 10:33:00+05:30,274.0,275.6,267.3,268.15,9685,370240
2026-04-16 10:34:00+05:30,268.8,272.4,266.0,267.0,15860,374920
2026-04-16 10:35:00+05:30,266.65,268.15,263.55,266.3,11895,374920
2026-04-16 10:36:00+05:30,266.15,266.7,260.0,265.0,24245,374920
2026-04-16 10:37:00+05:30,264.0,266.95,261.3,262.5,15405,385450
2026-04-16 10:38:00+05:30,262.6,270.7,262.6,270.7,11895,385450
2026-04-16 10:39:00+05:30,270.75,280.5,270.5,277.5,44005,385450
2026-04-16 10:40:00+05:30,277.75,280.0,275.2,278.2,15535,369785
2026-04-16 10:41:00+05:30,277.7,277.7,269.5,270.8,14495,369785
2026-04-16 10:42:00+05:30,270.95,271.35,264.35,266.8,18850,369785
2026-04-16 10:43:00+05:30,266.7,269.55,264.5,265.7,5850,372190
2026-04-16 10:44:00+05:30,265.3,268.4,264.35,267.15,8190,372190
