timestamp,open,high,low,close,volume,oi
2026-05-13 09:15:00+05:30,42.0,42.0,32.35,36.3,332540,513825
2026-05-13 09:16:00+05:30,36.7,38.6,34.1,35.05,138710,529165
2026-05-13 09:17:00+05:30,35.05,36.0,33.85,34.55,98150,551720
2026-05-13 09:18:00+05:30,34.45,35.1,33.5,34.9,65780,577915
2026-05-13 09:19:00+05:30,34.8,35.05,33.1,33.3,75985,577915
2026-05-13 09:20:00+05:30,33.6,34.85,33.2,34.2,39845,582660
2026-05-13 09:21:00+05:30,34.1,34.15,30.75,32.0,140530,613600
2026-05-13 09:22:00+05:30,32.0,33.0,31.35,32.45,95745,630370
2026-05-13 09:23:00+05:30,32.5,35.45,32.5,34.9,87100,639210
2026-05-13 09:24:00+05:30,34.85,36.0,34.7,35.25,64090,654745
2026-05-13 09:25:00+05:30,35.45,35.5,32.45,33.4,55055,662415
2026-05-13 09:26:00+05:30,33.35,33.35,32.45,32.85,36855,675350
2026-05-13 09:27:00+05:30,32.8,33.8,32.5,33.7,27690,679380
2026-05-13 09:28:00+05:30,33.6,34.4,31.7,32.2,64870,703560
2026-05-13 09:29:00+05:30,32.25,32.25,30.5,30.85,47255,703950
2026-05-13 09:30:00+05:30,30.9,32.5,30.65,32.45,58175,710255
2026-05-13 09:31:00+05:30,32.3,32.45,31.05,31.3,37115,707915
2026-05-13 09:32:00+05:30,31.2,31.5,30.5,30.7,44330,708370
2026-05-13 09:33:00+05:30,30.6,31.35,30.5,31.0,29055,708370
2026-05-13 09:34:00+05:30,31.05,31.2,29.3,29.6,68640,718965
2026-05-13 09:35:00+05:30,29.6,29.75,27.35,27.4,154960,718965
2026-05-13 09:36:00+05:30,27.4,28.3,27.25,27.55,57005,723190
2026-05-13 09:37:00+05:30,27.45,27.8,26.15,26.35,88205,722280
2026-05-13 09:38:00+05:30,26.35,26.7,25.7,25.9,35945,739505
2026-05-13 09:39:00+05:30,25.95,26.2,25.25,26.0,99645,739505
2026-05-13 09:40:00+05:30,26.0,26.4,25.6,26.05,116805,747045
2026-05-13 09:41:00+05:30,26.05,26.5,25.6,25.9,42705,759005
2026-05-13 09:42:00+05:30,25.95,26.55,25.55,26.5,78195,764075
2026-05-13 09:43:00+05:30,26.5,26.8,26.1,26.6,59930,761930
2026-05-13 09:44:00+05:30,26.6,27.95,26.55,27.7,62725,757055
2026-05-13 09:45:00+05:30,27.6,29.25,27.3,28.4,150930,745420
2026-05-13 09:46:00+05:30,28.4,29.1,28.2,28.45,63310,756080
2026-05-13 09:47:00+05:30,28.5,28.8,27.6,27.65,54340,748345
2026-05-13 09:48:00+05:30,27.55,28.65,27.5,27.9,58240,761345
2026-05-13 09:49:00+05:30,27.9,28.95,27.75,28.35,36010,761345
2026-05-13 09:50:00+05:30,28.25,28.9,28.2,28.5,30355,758485
2026-05-13 09:51:00+05:30,28.5,31.2,28.5,31.05,60255,753675
2026-05-13 09:52:00+05:30,31.0,32.1,30.2,31.9,76115,750230
2026-05-13 09:53:00+05:30,31.95,33.3,31.8,33.1,119080,742105
2026-05-13 09:54:00+05:30,33.15,34.1,32.65,32.75,93665,771420
2026-05-13 09:55:00+05:30,32.7,35.7,32.7,33.8,88920,784095
2026-05-13 09:56:00+05:30,33.55,34.6,33.05,33.8,39520,771940
2026-05-13 09:57:00+05:30,33.75,34.05,32.45,32.55,39585,773825
2026-05-13 09:58:00+05:30,32.6,33.75,31.9,33.7,50505,760045
2026-05-13 09:59:00+05:30,33.75,34.15,32.3,33.1,49010,739895
2026-05-13 10:00:00+05:30,32.6,32.6,30.8,31.7,46605,748475
2026-05-13 10:01:00+05:30,31.75,34.85,31.75,33.95,62335,748475
2026-05-13 10:02:00+05:30,34.05,34.8,33.3,33.5,45370,765310
2026-05-13 10:03:00+05:30,33.3,34.25,32.5,33.55,71500,763880
2026-05-13 10:04:00+05:30,33.25,35.6,32.95,35.6,49010,752960
2026-05-13 10:05:00+05:30,35.65,37.15,35.45,36.0,96590,737685
2026-05-13 10:06:00+05:30,35.95,37.1,35.6,36.75,40950,745875
2026-05-13 10:07:00+05:30,36.7,37.75,35.35,35.6,85085,744315
2026-05-13 10:08:00+05:30,35.5,35.7,34.1,34.9,69420,743145
2026-05-13 10:09:00+05:30,34.8,35.6,33.85,34.75,34125,747045
2026-05-13 10:10:00+05:30,34.7,34.95,32.8,32.8,39780,750880
2026-05-13 10:11:00+05:30,32.85,34.1,32.65,33.35,39000,746980
2026-05-13 10:12:00+05:30,33.15,35.0,32.95,33.7,41990,746070
2026-05-13 10:13:00+05:30,33.5,34.7,33.2,34.1,25610,748930
2026-05-13 10:14:00+05:30,34.15,35.3,34.15,34.25,28860,751205
2026-05-13 10:15:00+05:30,34.3,35.9,33.8,35.6,33475,755495
2026-05-13 10:16:00+05:30,35.5,36.8,35.4,36.2,44135,751010
2026-05-13 10:17:00+05:30,36.25,36.8,35.8,36.4,45890,760500
2026-05-13 10:18:00+05:30,36.4,36.7,35.2,35.75,62790,765895
2026-05-13 10:19:00+05:30,35.75,35.85,34.6,35.6,35620,772070
2026-05-13 10:20:00+05:30,35.65,39.0,35.65,37.65,147485,772135
2026-05-13 10:21:00+05:30,37.55,39.2,35.8,37.2,131235,769990
2026-05-13 10:22:00+05:30,37.1,37.2,35.95,36.25,79820,794040
2026-05-13 10:23:00+05:30,36.45,39.0,36.45,38.4,59670,799435
2026-05-13 10:24:00+05:30,38.35,38.55,36.75,38.45,50050,796185
2026-05-13 10:25:00+05:30,38.45,39.1,37.4,37.8,39910,805870
2026-05-13 10:26:00+05:30,37.85,39.0,37.65,38.6,52455,806325
2026-05-13 10:27:00+05:30,38.45,39.2,37.7,38.65,53235,801515
2026-05-13 10:28:00+05:30,38.6,39.55,37.9,37.95,65975,803465
2026-05-13 10:29:00+05:30,37.9,38.5,36.9,37.1,62075,802945
2026-05-13 10:30:00+05:30,37.05,38.15,36.3,37.05,50505,787540
2026-05-13 10:31:00+05:30,36.9,38.15,36.75,37.1,44070,780780
2026-05-13 10:32:00+05:30,36.95,37.6,36.2,36.7,34970,785785
2026-05-13 10:33:00+05:30,36.95,37.55,36.05,37.5,24960,790725
2026-05-13 10:34:00+05:30,37.4,41.45,37.3,40.7,96265,782340
2026-05-13 10:35:00+05:30,40.6,40.9,38.2,38.25,78000,784290
2026-05-13 10:36:00+05:30,38.2,38.45,37.3,37.4,53105,790010
2026-05-13 10:37:00+05:30,37.4,39.25,37.0,38.85,28080,787020
2026-05-13 10:38:00+05:30,39.0,39.0,36.1,36.45,35945,790595
2026-05-13 10:39:00+05:30,36.5,36.75,34.5,35.7,106210,791115
2026-05-13 10:40:00+05:30,36.0,37.9,35.7,37.6,39000,755755
2026-05-13 10:41:00+05:30,37.65,38.35,37.15,37.75,37895,754780
2026-05-13 10:42:00+05:30,37.75,37.95,37.05,37.6,21580,757445
2026-05-13 10:43:00+05:30,37.75,37.75,36.65,37.15,19695,764855
2026-05-13 10:44:00+05:30,37.1,37.4,36.8,37.0,14365,767845
2026-05-13 10:45:00+05:30,37.0,38.7,36.85,37.95,51415,767325
2026-05-13 10:46:00+05:30,37.9,38.45,37.1,37.1,27040,763815
2026-05-13 10:47:00+05:30,37.2,37.8,36.8,36.9,23400,763555
2026-05-13 10:48:00+05:30,37.1,37.3,36.5,37.1,20605,762255
2026-05-13 10:49:00+05:30,37.3,37.3,35.35,35.5,45695,765375
2026-05-13 10:50:00+05:30,35.3,36.3,35.3,36.0,18265,776295
2026-05-13 10:51:00+05:30,36.0,36.5,35.65,36.05,30095,776815
2026-05-13 10:52:00+05:30,35.95,36.95,35.8,36.9,24960,774800
2026-05-13 10:53:00+05:30,36.95,37.3,35.15,35.25,37245,774930
2026-05-13 10:54:00+05:30,35.2,36.2,35.1,35.45,15210,777725
2026-05-13 10:55:00+05:30,35.65,35.75,33.65,33.75,43160,773240
2026-05-13 10:56:00+05:30,33.8,34.2,33.0,33.05,40235,760825
2026-05-13 10:57:00+05:30,33.0,33.15,31.8,31.95,51415,756080
2026-05-13 10:58:00+05:30,31.75,31.9,30.2,30.25,39130,754715
2026-05-13 10:59:00+05:30,30.3,30.9,29.65,29.75,51480,753025
2026-05-13 11:00:00+05:30,29.75,30.45,29.5,30.2,36920,751465
2026-05-13 11:01:00+05:30,30.25,30.55,29.6,30.4,46215,754910
2026-05-13 11:02:00+05:30,30.5,30.6,30.15,30.5,24895,755040
2026-05-13 11:03:00+05:30,30.7,32.05,30.45,31.1,63635,754910
2026-05-13 11:04:00+05:30,31.15,31.7,30.65,30.95,18785,758485
2026-05-13 11:05:00+05:30,31.0,31.2,30.0,30.15,22750,763750
2026-05-13 11:06:00+05:30,30.3,30.35,29.55,29.9,17615,762645
2026-05-13 11:07:00+05:30,29.9,31.5,29.85,31.2,29900,764075
2026-05-13 11:08:00+05:30,31.4,31.4,30.7,30.7,23660,768560
2026-05-13 11:09:00+05:30,30.8,32.1,30.8,31.6,20995,770640
2026-05-13 11:10:00+05:30,31.55,31.95,30.9,31.95,53430,774345
2026-05-13 11:11:00+05:30,32.1,32.2,31.4,31.4,30160,780715
2026-05-13 11:12:00+05:30,31.4,31.4,30.4,30.6,31720,783510
2026-05-13 11:13:00+05:30,30.75,31.4,30.6,30.95,33540,795990
2026-05-13 11:14:00+05:30,30.85,32.1,30.6,31.8,20865,802750
2026-05-13 11:15:00+05:30,31.95,32.45,31.6,32.2,41600,801255
2026-05-13 11:16:00+05:30,32.25,32.65,31.9,32.0,32240,807755
2026-05-13 11:17:00+05:30,32.0,32.0,30.5,30.9,31590,813215
2026-05-13 11:18:00+05:30,30.85,31.55,30.65,31.55,16835,819650
2026-05-13 11:19:00+05:30,31.6,32.2,31.6,32.1,40105,821990
2026-05-13 11:20:00+05:30,32.15,32.35,31.7,32.0,24700,823745
