timestamp,spot_price,index_price,atm_strike,ce_strike,ce_symbol,ce_ltp,ce_delta,ce_vega,ce_theta,ce_gamma,ce_open,ce_high,ce_low,ce_close,pe_strike,pe_symbol,pe_ltp,pe_delta,pe_vega,pe_theta,pe_gamma,pe_open,pe_high,pe_low,pe_close,volume
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,21800,NSE_FO|40692,,,,,,,,,,21800,NSE_FO|40693,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,21850,NSE_FO|40694,,,,,,,,,,21850,NSE_FO|40695,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,21900,NSE_FO|40696,,,,,,,,,,21900,NSE_FO|40697,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,21950,NSE_FO|40698,,,,,,,,,,21950,NSE_FO|40699,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22000,NSE_FO|40700,,,,,,,,,,22000,NSE_FO|40701,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22050,NSE_FO|40703,,,,,,,,,,22050,NSE_FO|40704,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22100,NSE_FO|40705,,,,,,,,,,22100,NSE_FO|40706,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22150,NSE_FO|40707,,,,,,,,,,22150,NSE_FO|40708,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22200,NSE_FO|40714,,,,,,,,,,22200,NSE_FO|40717,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22250,NSE_FO|40718,,,,,,,,,,22250,NSE_FO|40723,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22300,NSE_FO|40724,,,,,,,,,,22300,NSE_FO|40725,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22350,NSE_FO|40726,,,,,,,,,,22350,NSE_FO|40727,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22400,NSE_FO|40728,,,,,,,,,,22400,NSE_FO|40729,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22450,NSE_FO|40730,,,,,,,,,,22450,NSE_FO|40731,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22500,NSE_FO|40732,,,,,,,,,,22500,NSE_FO|40735,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22550,NSE_FO|40736,,,,,,,,,,22550,NSE_FO|40737,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22600,NSE_FO|40738,,,,,,,,,,22600,NSE_FO|40739,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22650,NSE_FO|40740,,,,,,,,,,22650,NSE_FO|40741,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22700,NSE_FO|40742,,,,,,,,,,22700,NSE_FO|40745,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22750,NSE_FO|40747,,,,,,,,,,22750,NSE_FO|40751,,,,,,,,,,1
2026-04-02T10:51:36.834000+05:30,22297.8,22203.05,22300,22800,NSE_FO|40752,,,,,,,,,,22800,NSE_FO|40753,,,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,21800,NSE_FO|40692,564.35,0.713,,,,,,,,21800,NSE_FO|40693,151.05,-0.2925,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,21850,NSE_FO|40694,527.6,0.6918,,,,,,,,21850,NSE_FO|40695,165.25,-0.3137,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,21900,NSE_FO|40696,493.85,0.6687,,,,,,,,21900,NSE_FO|40697,180.1,-0.3354,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,21950,NSE_FO|40698,457.85,0.646,,,,,,,,21950,NSE_FO|40699,196.15,-0.3582,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22000,NSE_FO|40700,425.45,0.6217,,,,,,,,22000,NSE_FO|40701,213.75,-0.3815,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22050,NSE_FO|40703,394.8,0.5966,,,,,,,,22050,NSE_FO|40704,231.4,-0.4057,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22100,NSE_FO|40705,364.5,0.5709,,,,,,,,22100,NSE_FO|40706,251.75,-0.4306,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22150,NSE_FO|40707,335.3,0.5449,,,,,,,,22150,NSE_FO|40708,272.3,-0.456,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22200,NSE_FO|40714,307.2,0.5183,,,,,,,,22200,NSE_FO|40717,294.85,-0.4819,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22250,NSE_FO|40718,281.35,0.4914,,,,,,,,22250,NSE_FO|40723,318.4,-0.508,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22300,NSE_FO|40724,256,0.4641,,,,,,,,22300,NSE_FO|40725,343.6,-0.5344,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22350,NSE_FO|40726,231.6,0.4368,,,,,,,,22350,NSE_FO|40727,369.5,-0.561,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22400,NSE_FO|40728,209.6,0.4098,,,,,,,,22400,NSE_FO|40729,397.35,-0.5874,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22450,NSE_FO|40730,189.15,0.3827,,,,,,,,22450,NSE_FO|40731,425.2,-0.6137,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22500,NSE_FO|40732,170.4,0.3562,,,,,,,,22500,NSE_FO|40735,456.85,-0.6397,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22550,NSE_FO|40736,152.35,0.33,,,,,,,,22550,NSE_FO|40737,487.85,-0.6647,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22600,NSE_FO|40738,135.75,0.3044,,,,,,,,22600,NSE_FO|40739,521,-0.6911,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22650,NSE_FO|40740,120.55,0.2799,,,,,,,,22650,NSE_FO|40741,556.95,-0.7135,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22700,NSE_FO|40742,106.8,0.2566,,,,,,,,22700,NSE_FO|40745,593.45,-0.7357,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22750,NSE_FO|40747,,,,,,,,,,22750,NSE_FO|40751,,,,,,,,,,1
2026-04-02T10:52:00.251000+05:30,22292,22202.4,22300,22800,NSE_FO|40752,,,,,,,,,,22800,NSE_FO|40753,,,,,,,,,,1
2026-04-02T10:53:00.095000+05:30,22298.4,22200.7,22300,21800,NSE_FO|40692,565.3,0.7141,,,,,,,,21800,NSE_FO|40693,151.5,-0.2915,,,,,,,,1
2026-04-02T10:53:00.095000+05:30,22298.4,22200.7,22300,21850,NSE_FO|40694,528.55,0.6918,,,,,,,,21850,NSE_FO|40695,165.55,-0.3122,,,,,,,,1
2026-04-02T10:53:00.095000+05:30,22298.4,22200.7,22300,21900,NSE_FO|40696,492.85,0.6709,,,,,,,,21900,NSE_FO|40697,181.4,-0.3338,,,,,,,,1
2026-04-02T10:53:00.095000+05:30,22298.4,22200.7,22300,21950,NSE_FO|40698,460.05,0.6479,,,,,,,,21950,NSE_FO|40699,197,-0.3569,,,,,,,,1
2026-04-02T10:53:00.095000+05:30,22298.4,22200.7,22300,22000,NSE_FO|40700,426.3,0.6236,,,,,,,,22000,NSE_FO|40701,213.9,-0.3803,,,,,,,,1
